Peak EV,Ave EV,Ave LA,LA HHB,EV LF,LA LF,DistanceLF,EV CF,LA CF,DistCF,EV RF,LA RF,DIST RF,EV 3b,LA 3b,DIST 3b,EV middle width,LA MW,DIST MW,EV 1b,LA 1b,DIST 1b,EV HIGH,LA  HIGH,DIST HIGH,EV MIDHEIGHT,LA MIDH,DIST MIDH,EV LOW,LA LOW,Dist Low,POI.X(AVG),Barrel,POI.Y(AVG),POI.Z(AVG),Velo.AVG(GBs),Velo.AVG(LDs),Velo.AVG(FBs),HHR%,STD(EV),STD(LA),EV[POZ.Z(18-22)],LA[POZ.Z(18-22)],EV[POZ.Z(22-26)],LA[POZ.Z(22-26)],EV[POZ.Z(26-30)],LA[POZ.Z(26-30)],EV[POZ.Z(30-34)],LA[POZ.Z(30-34)],EV[POZ.Z(34-38)],LA[POZ.Z(34-38)],EV[POZ.Z(38-42)],LA[POZ.Z(38-42)]
91.7,81.20,5.684931507,-1.272727273,80.075,4,108.25,84.63888889,-0.1111111111,83.11111111,80.46,8.8,135.68,83.31515152,-3.575757576,66.90909091,78.17037037,15.22222222,145.962963,81.71111111,15.77777778,167.2222222,83.48,-4.8,51.8,82.40384615,-0.6923076923,91.34615385,79.88157895,12.55263158,132.1052632,2.639726027,0,28.89616438,20.54493151,83.21304348,84.26666667,73.84166667,0.301369863,7.791146023,23.42662505,80.46,14.8,84.18666667,3.2,81.75,-1.875,77.975,18.5,77.36666667,2.666666667,84.06666667,23
#,AB,Date,Time Stamp,Pitch,Strike Zone,P. Type,Velo,LA,Dist,Res,Type,Horiz. Angle,Pts,Hand Speed,BV,Trigger to Impact,AA,Impact Momentum,Strike Zone Bottom,Strike Zone Top,Strike Zone Width,Vertical Distance,Horizontal Distance,POI X,POI Y,POI Z,Bat Material,User,,,,Barrel,,,,,,,,,,,,,,,,,,,,
36,18,8/16/2018 18:59:49,0:13:48,69,8,N/A,56,-16,8,Foul,GB,-48,0,0,0,0,0,0,22.7,42.1,17,-7.8,0.7,-0.44,25.57,27.11,Undefined,TJ Rigaud,-3.3,Right,Baseball - College,0,,PEAK EV,AVG EV,AVE LA,RANGE,,,,,,,,,,,,,,,
46,22,8/16/2018 19:06:06,0:20:05,68.9,8,N/A,60.3,-6,18,5-3,GB,-30,0,0,0,0,0,0,22.7,42.1,17,-3.6,-1.1,1.89,30.15,34.27,Undefined,TJ Rigaud,-2.7,Right,Baseball - College,0,,0,#DIV/0!,#DIV/0!,-45 to -35,,,,,,,,,,,,,,,
50,24,8/16/2018 19:06:39,0:20:37,69.7,9,N/A,89.7,16,249,F7,LD,-24,75,0,0,0,0,0,22.7,42.1,17,-4,4.4,-3.97,28.97,23.6,Undefined,TJ Rigaud,-2.7,Right,Baseball - College,0,,60.3,60.3,-6,-35 to -25,,,,,,,,,,,,,,,
106,63,8/8/2018 19:53:59,0:34:22,76.4,4,N/A,87.1,-2,35,6-3,GB,-19,29,0,0,0,0,0,21.5,40.7,17,-3.2,-5.4,3.12,29.76,41.65,Undefined,Joey Kassis,-2.5,Right,Baseball - College,0,,89.7,86.66666667,7.333333333,-25 to -15,,,,,,,,,,,,,,,
25,16,8/13/2018 20:27:42,0:12:26,72.9,6,N/A,83.2,8,131,F6,LD,-18,39,0,0,0,0,0,21.5,40.7,17,-2.4,4.6,-4.74,29.36,24.66,Undefined,Joey Kassis,-2.7,Right,Baseball - College,0,,91.4,85.08,1.533333333,-15 to -5,,,,,,,,,,,,,,,
99,59,8/8/2018 19:48:31,0:28:55,75.2,5,N/A,84.1,-2,37,6-3,GB,-14,21,0,0,0,0,0,21.5,40.7,17,-0.1,2,-2.94,31.8,29.09,Undefined,Joey Kassis,-2.3,Right,Baseball - College,0,,90.4,83.9,3.384615385,-5 to 5,,,,,,,,,,,,,,,
26,12,8/16/2018 18:58:32,0:12:30,69.5,8,N/A,79.7,-12,10,6-3,GB,-13,0,0,0,0,0,0,22.7,42.1,17,-6.3,-1.2,1.21,26.02,16.4,Undefined,TJ Rigaud,-3.2,Right,Baseball - College,0,,89.1,84.69,-9.8,5 to 15,,,,,,,,,,,,,,,
20,11,8/7/2018 17:50:14,0:01:41,69.9,5,N/A,83.1,-21,7,6-3,GB,-13,0,0,0,0,0,0,21.5,40.7,17,0,-1.8,1.75,31.04,16.42,Undefined,Joey Kassis,-2.6,Right,Baseball - College,0,,91.7,80.55833333,15.83333333,15 to 25,,,,,,,,,,,,,,,
72,39,8/8/2018 19:38:29,0:18:52,74.9,12,N/A,83.8,1,60,6-3,GB,-13,26,0,0,0,0,0,21.5,40.7,17,-2.1,-12.3,10.12,30.5,38.84,Undefined,Joey Kassis,-2.3,Right,Baseball - College,0,,87.2,78.73333333,14.5,25 to 25,,,,,,,,,,,,,,,
31,18,8/7/2018 17:51:20,0:02:47,67.2,1,N/A,80.4,-2,37,6-3,GB,-12,12,0,0,0,0,0,21.5,40.7,17,8.7,-3.1,3.16,39.92,17.79,Undefined,Joey Kassis,-2.2,Right,Baseball - College,0,,88.1,81.77142857,-8.142857143,35 to 45,,,,,,,,,,,,,,,
